Player Name,Fantasy Points,Passing Attempts,Passing Completions,Passing Yards,Passing TD,Interceptions,Passing 2PT Conversions,Rushing Attempts,Rushing Yards,Rushing TD,Rushing 2PT Conversions,Receptions,Receiving Yards,Receiving TD,Receiving 2PT,Fumbles
Christian McCaffrey,340,2,0,0,0,0,0,287,1387,15,1,116,1005,4,0,0
Derrick Henry,266,0,0,0,0,0,0,303,1540,16,0,18,206,2,0,3
Aaron Jones,255,0,0,0,0,0,0,236,1084,16,0,49,474,3,0,2
Ezekiel Elliott,246,0,0,0,0,0,0,301,1357,12,0,54,420,2,0,2
Dalvin Cook,229,0,0,0,0,0,0,250,1135,13,0,53,519,0,0,2
Nick Chubb,209,0,0,0,0,0,0,298,1494,8,0,36,278,0,0,3
Mark Ingram,206,0,0,0,0,0,0,202,1018,10,2,26,247,5,0,2
Austin Ekeler,203,0,0,0,0,0,0,132,557,3,0,92,993,8,0,2
Chris Carson,188,0,0,0,0,0,0,278,1230,7,0,37,266,2,0,4
Saquon Barkley,181,0,0,0,0,0,0,217,1003,6,0,52,438,2,0,0
Todd Gurley,180,0,0,0,0,0,0,223,857,12,1,31,207,2,0,2
Joe Mixon,179,0,0,0,0,0,0,278,1137,5,0,35,287,3,0,0
Leonard Fournette,173,0,0,0,0,0,0,265,1152,3,0,76,522,0,0,1
Josh Jacobs,164,0,0,0,0,0,0,242,1150,7,0,20,166,0,0,1
Miles Sanders,157,0,0,0,0,0,0,179,818,3,1,50,509,3,0,1
Alvin Kamara,156,1,1,13,0,0,0,171,797,5,0,81,533,1,0,1
Marlon Mack,156,0,0,0,0,0,0,247,1091,8,1,14,82,0,0,0
Kenyan Drake,153,0,0,0,0,0,0,170,817,8,0,50,345,0,1,1
Phillip Lindsay,150,0,0,0,0,0,0,224,1011,7,0,35,196,0,0,0
Raheem Mostert,143,0,0,0,0,0,0,137,772,8,0,14,180,2,0,2
Le'Veon Bell,138,0,0,0,0,0,0,245,789,3,0,66,461,1,1,1
Carlos Hyde,136,0,0,0,0,0,0,245,1070,6,0,10,42,0,0,2
David Montgomery,135,0,0,0,0,0,0,242,889,6,0,25,185,1,0,2
Sony Michel,133,0,0,0,0,0,0,247,912,7,0,12,94,0,0,1
Melvin Gordon,131,0,0,0,0,0,0,162,612,8,0,42,296,1,0,3
Devonta Freeman,128,0,0,0,0,0,0,184,656,2,0,59,410,4,0,2
Ronald Jones II,125,0,0,0,0,0,0,172,724,6,0,31,309,0,0,2
Adrian Peterson,118,0,0,0,0,0,0,211,898,5,0,17,142,0,0,2
James White,115,1,1,35,0,0,0,67,263,1,1,72,645,5,0,1
Latavius Murray,110,0,0,0,0,0,0,146,637,5,0,34,235,1,0,0
Devin Singletary,108,0,0,0,0,0,0,151,775,2,0,29,194,2,0,1
James Conner,106,0,0,0,0,0,0,116,464,4,0,34,251,3,0,1
Tevin Coleman,105,0,0,0,0,0,0,137,544,6,0,21,180,1,0,0
Damien Williams,102,0,0,0,0,0,0,111,498,5,0,30,213,2,0,1
Duke Johnson,99,0,0,0,0,0,0,83,410,2,0,44,410,3,0,1
David Johnson,96,0,0,0,0,0,0,94,345,2,0,36,370,4,0,1
Jamaal Williams,96,0,0,0,0,0,0,107,460,1,0,39,253,5,0,0
Jordan Howard,94,0,0,0,0,0,0,119,525,6,0,10,69,1,0,0
Peyton Barber,91,0,0,0,0,0,0,154,470,6,1,16,115,1,0,1
Royce Freeman,87,0,0,0,0,0,0,132,496,3,0,43,256,1,0,0
LeSean McCoy,84,0,0,0,0,0,0,101,465,4,0,28,181,1,0,2
Gus Edwards,76,0,0,0,0,0,0,133,711,2,0,7,45,0,0,1
Matt Breida,75,0,0,0,0,0,0,123,623,1,0,19,120,1,0,1
Frank Gore,71,0,0,0,0,0,0,166,599,2,0,13,100,0,0,0
DeAndre Washington,71,0,0,0,0,0,0,108,387,3,0,36,292,0,0,0
Kerryon Johnson,70,0,0,0,0,0,0,113,403,3,0,10,127,1,0,1
Tarik Cohen,67,0,0,0,0,0,0,64,213,0,0,79,456,3,0,0
Tony Pollard,67,0,0,0,0,0,0,86,455,2,1,15,107,1,0,1
Boston Scott,67,0,0,0,0,0,0,61,245,5,0,24,204,0,0,1
Rex Burkhead,64,0,0,0,0,0,0,65,302,3,0,27,279,0,0,1
Chase Edmonds,63,0,0,0,0,0,0,60,303,4,0,12,105,1,0,0
Rashaad Penny,63,0,0,0,0,0,0,65,370,3,0,8,83,1,0,1
Kareem Hunt,57,0,0,0,0,0,0,43,179,2,0,37,285,1,0,0
Malcolm Brown,53,0,0,0,0,0,0,69,255,5,0,2,16,0,0,0
Brian Hill,52,0,0,0,0,0,0,78,323,2,0,10,69,1,0,0
Nyheim Hines,52,0,0,0,0,0,0,52,199,2,0,44,320,0,0,1
Alexander Mattison,51,0,0,0,0,0,0,100,462,1,0,10,82,0,0,1
Benjamin Snell,51,0,0,0,0,0,0,108,426,2,0,3,23,0,0,1
Darrel Williams,48,0,0,0,0,0,0,41,141,3,0,15,167,1,0,1
Jaylen Samuels,47,5,4,35,0,1,0,66,175,1,0,47,305,1,0,1
Derrius Guice,46,0,0,0,0,0,0,42,245,2,0,7,79,1,0,0
Mike Boone,43,0,0,0,0,0,0,49,273,3,0,3,17,0,0,0
Chris Thompson,42,0,0,0,0,0,0,37,138,0,0,42,378,0,0,0
J.D. McKissic,40,0,0,0,0,0,0,38,205,0,0,34,233,1,0,0
Bo Scarbrough,40,0,0,0,0,0,0,89,377,1,0,1,5,0,0,1
Jeffery Wilson,40,0,0,0,0,0,0,27,105,4,0,3,34,1,0,0
Jordan Wilkins,39,0,0,0,0,0,0,51,307,2,0,7,43,0,0,0
Brandon Bolden,38,0,0,0,0,0,0,15,68,3,0,9,111,1,0,0
Patrick Laird,38,0,0,0,0,0,0,62,168,1,0,23,204,0,1,0
Wayne Gallman,35,0,0,0,0,0,0,29,110,2,0,11,102,1,0,1
Dare Ogunbowale,35,0,0,0,0,0,0,11,17,2,0,35,286,0,0,1
Jalen Richard,34,0,0,0,0,0,0,39,145,0,0,36,323,0,0,0
Jonathan Williams,33,0,0,0,0,0,0,49,235,1,0,5,59,0,0,0
