Player Name,Fantasy Points,Passing Attempts,Passing Completions,Passing Yards,Passing TD,Interceptions,Passing 2PT Conversions,Rushing Attempts,Rushing Yards,Rushing TD,Rushing 2PT Conversions,Receptions,Receiving Yards,Receiving TD,Receiving 2PT,Fumbles
Michael Thomas,219,0,0,0,0,0,0,1,-9,0,0,149,1725,9,0,0
Chris Godwin,186,0,0,0,0,0,0,1,8,0,0,86,1333,9,1,0
Kenny Golladay,177,0,0,0,0,0,0,0,0,0,0,65,1190,11,0,1
Cooper Kupp,171,1,0,0,0,0,0,2,4,0,0,94,1161,10,0,0
Julio Jones,168,0,0,0,0,0,0,2,-3,0,0,99,1394,6,0,0
DeVante Parker,166,0,0,0,0,0,0,0,0,0,0,72,1202,9,0,0
Mike Evans,161,0,0,0,0,0,0,0,0,0,0,67,1157,8,1,0
Amari Cooper,159,0,0,0,0,0,0,1,6,0,0,79,1189,8,0,0
DeAndre Hopkins,159,2,1,6,1,1,0,2,18,0,0,104,1165,7,1,0
A.J. Brown,158,0,0,0,0,0,0,3,60,1,0,52,1051,8,0,0
Julian Edelman,151,2,2,47,1,0,0,8,27,0,0,100,1117,6,1,1
Keenan Allen,150,0,0,0,0,0,0,3,16,0,0,104,1199,6,0,0
Allen Robinson,150,0,0,0,0,0,0,1,2,0,0,98,1147,7,0,0
Tyler Lockett,149,0,0,0,0,0,0,4,-5,0,0,82,1057,8,0,0
Jarvis Landry,147,0,0,0,0,0,0,1,10,0,0,83,1174,6,0,0
D.J. Chark,145,0,0,0,0,0,0,2,20,0,0,73,1008,8,1,0
Courtland Sutton,143,1,1,38,0,0,0,3,17,0,0,72,1112,6,0,0
Stefon Diggs,142,1,0,0,0,0,0,5,61,0,0,63,1130,6,0,3
John Brown,141,1,1,28,1,0,0,2,7,0,0,72,1060,6,0,0
Michael Gallup,138,0,0,0,0,0,0,0,0,0,0,66,1107,6,0,0
D.J. Moore,138,0,0,0,0,0,0,6,40,0,0,87,1175,4,0,1
Robert Woods,130,0,0,0,0,0,0,17,115,1,0,90,1134,2,0,0
Terry McLaurin,128,0,0,0,0,0,0,0,0,0,0,58,919,7,0,0
Tyler Boyd,127,0,0,0,0,0,0,4,23,0,0,90,1046,5,0,2
Calvin Ridley,127,0,0,0,0,0,0,2,34,0,0,63,866,7,1,0
Davante Adams,126,0,0,0,0,0,0,0,0,0,0,83,997,5,1,1
Marvin Jones,126,0,0,0,0,0,0,2,0,0,0,62,779,9,0,0
Tyreek Hill,124,0,0,0,0,0,0,8,23,0,0,58,860,7,0,0
D.K. Metcalf,124,0,0,0,0,0,0,2,11,0,0,58,900,7,1,3
Deebo Samuel,123,0,0,0,0,0,0,14,159,3,0,57,802,3,1,1
Odell Beckham Jr.,121,2,1,20,0,0,0,3,10,0,0,74,1035,4,0,1
Emmanuel Sanders,119,1,1,35,1,0,0,0,0,0,0,66,869,5,1,0
Darius Slayton,118,0,0,0,0,0,0,0,0,0,0,48,740,8,0,0
Jamison Crowder,112,0,0,0,0,0,0,1,4,0,0,78,833,6,0,0
Cole Beasley,111,0,0,0,0,0,0,0,0,0,0,67,778,6,2,0
